rownums,date,DOY,site,analysis,count
188,6/26/2017,177,EC 1163,FIELD Secchi,60
189,6/26/2017,177,EC 1163,FIELD pH,10.63
190,6/26/2017,177,EC 1163,FIELD Conductivity,310
191,6/26/2017,177,Bells,FIELD Air Temperature,20.7
192,6/26/2017,177,Bells,FIELD Water Temperature,20.38
193,6/26/2017,177,Bells,FIELD Dissolved Oxygen,NA
194,6/26/2017,177,Bells,FIELD Secchi,106
195,6/26/2017,177,Bells,FIELD pH,10.25
196,6/26/2017,177,Bells,FIELD Conductivity,290
197,6/26/2017,177,Bridge,FIELD Air Temperature,NA
198,6/26/2017,177,Bridge,FIELD Water Temperature,NA
199,6/26/2017,177,Bridge,FIELD Dissolved Oxygen,NA
200,6/26/2017,177,Bridge,FIELD Secchi,NA
201,6/26/2017,177,Bridge,FIELD pH,NA
202,6/26/2017,177,Bridge,FIELD Conductivity,0
203,6/26/2017,177,Buoy 2,FIELD Air Temperature,22.7
204,6/26/2017,177,Buoy 2,FIELD Water Temperature,21.48
205,6/26/2017,177,Buoy 2,FIELD Dissolved Oxygen,NA
206,6/26/2017,177,Buoy 2,FIELD Secchi,NA
207,6/26/2017,177,Buoy 2,FIELD pH,10.99
208,6/26/2017,177,Buoy 2,FIELD Conductivity,330
209,7/17/2017,198,ODNR 4,FIELD Air Temperature,NA
210,7/17/2017,198,ODNR 4,FIELD Water Temperature,23.44
211,7/17/2017,198,ODNR 4,FIELD Dissolved Oxygen,9.12
212,7/17/2017,198,ODNR 4,FIELD Secchi,NA
213,7/17/2017,198,ODNR 4,FIELD pH,8.88
214,7/17/2017,198,ODNR 4,FIELD Conductivity,230
215,7/17/2017,198,ODNR 6,FIELD Air Temperature,NA
216,7/17/2017,198,ODNR 6,FIELD Water Temperature,24.3
217,7/17/2017,198,ODNR 6,FIELD Dissolved Oxygen,7.89
218,7/17/2017,198,ODNR 6,FIELD Secchi,NA
219,7/17/2017,198,ODNR 6,FIELD pH,8.94
220,7/17/2017,198,ODNR 6,FIELD Conductivity,220
221,7/17/2017,198,Bridge,FIELD Air Temperature,NA
222,7/17/2017,198,Bridge,FIELD Water Temperature,24.66
223,7/17/2017,198,Bridge,FIELD Dissolved Oxygen,10.52
224,7/17/2017,198,Bridge,FIELD Secchi,NA
225,7/17/2017,198,Bridge,FIELD pH,9.67
226,7/17/2017,198,Bridge,FIELD Conductivity,380
227,7/17/2017,198,ODNR 2,FIELD Air Temperature,NA
228,7/17/2017,198,ODNR 2,FIELD Water Temperature,25.35
229,7/17/2017,198,ODNR 2,FIELD Dissolved Oxygen,11.24
230,7/17/2017,198,ODNR 2,FIELD Secchi,NA
231,7/17/2017,198,ODNR 2,FIELD pH,9.58
232,7/17/2017,198,ODNR 2,FIELD Conductivity,340
233,7/21/2017,202,Buoy 2,FIELD Air Temperature,NA
234,7/21/2017,202,Buoy 2,FIELD Water Temperature,25.62
235,7/21/2017,202,Buoy 2,FIELD Dissolved Oxygen,14.8
236,7/21/2017,202,Buoy 2,FIELD Secchi,NA
237,7/21/2017,202,Buoy 2,FIELD pH,10.11
238,7/21/2017,202,Buoy 2,FIELD Conductivity,390
239,7/17/2017,198,ODNR 1,FIELD Air Temperature,NA
240,7/17/2017,198,ODNR 1,FIELD Water Temperature,25.63
241,7/17/2017,198,ODNR 1,FIELD Dissolved Oxygen,16.3
242,7/17/2017,198,ODNR 1,FIELD Secchi,NA
243,7/17/2017,198,ODNR 1,FIELD pH,10.26
244,7/17/2017,198,ODNR 1,FIELD Conductivity,410
245,7/17/2017,198,EC 1163,FIELD Air Temperature,NA
246,7/17/2017,198,EC 1163,FIELD Water Temperature,26.16
247,7/17/2017,198,EC 1163,FIELD Dissolved Oxygen,13.58
248,7/17/2017,198,EC 1163,FIELD Secchi,NA
249,7/17/2017,198,EC 1163,FIELD pH,10.13
250,7/17/2017,198,EC 1163,FIELD Conductivity,390
251,7/17/2017,198,Bells,FIELD Air Temperature,NA
252,7/17/2017,198,Bells,FIELD Water Temperature,25.3
253,7/17/2017,198,Bells,FIELD Dissolved Oxygen,11.64
254,7/17/2017,198,Bells,FIELD Secchi,NA
255,7/17/2017,198,Bells,FIELD pH,9.58
256,7/17/2017,198,Bells,FIELD Conductivity,280
257,7/31/2017,212,ODNR 4,FIELD Air Temperature,NA
258,7/31/2017,212,ODNR 4,FIELD Water Temperature,23.48
259,7/31/2017,212,ODNR 4,FIELD Dissolved Oxygen,10.84
260,7/31/2017,212,ODNR 4,FIELD Secchi,NA
261,7/31/2017,212,ODNR 4,FIELD pH,9.75
262,7/31/2017,212,ODNR 4,FIELD Conductivity,390
263,7/31/2017,212,ODNR 6,FIELD Air Temperature,NA
264,7/31/2017,212,ODNR 6,FIELD Water Temperature,23.55
265,7/31/2017,212,ODNR 6,FIELD Dissolved Oxygen,16.72
266,7/31/2017,212,ODNR 6,FIELD Secchi,NA
267,7/31/2017,212,ODNR 6,FIELD pH,10.32
